"year","school","gender","deg_type","grad_cnt"
"2006-2007","Harrisonburg High","F","Standard Diploma",50
"2006-2007","Harrisonburg High","F","Adv Studies Diploma",77
"2006-2007","Harrisonburg High","F","Certificate of Completion",12
"2006-2007","Harrisonburg High","M","Standard Diploma",57
"2006-2007","Harrisonburg High","M","Adv Studies Diploma",67
"2006-2007","Harrisonburg High","M","Special Diploma",10
"2006-2007","Harrisonburg High","M","Certificate of Completion",10
"2006-2007","Harrisonburg High","","Standard Diploma",107
"2006-2007","Harrisonburg High","","Adv Studies Diploma",144
"2006-2007","Harrisonburg High","","Special Diploma",13
"2006-2007","Harrisonburg High","","Certificate of Completion",22
"2006-2007","Harrisonburg High","","GED",16
"2007-2008","Harrisonburg High","F","Standard Diploma",44
"2007-2008","Harrisonburg High","F","Adv Studies Diploma",100
"2007-2008","Harrisonburg High","M","Standard Diploma",66
"2007-2008","Harrisonburg High","M","Adv Studies Diploma",57
"2007-2008","Harrisonburg High","M","Special Diploma",14
"2007-2008","Harrisonburg High","","Standard Diploma",110
"2007-2008","Harrisonburg High","","Adv Studies Diploma",157
"2007-2008","Harrisonburg High","","Special Diploma",21
"2007-2008","Harrisonburg High","","Certificate of Completion",17
"2007-2008","Harrisonburg High","","GED",9
"2008-2009","Harrisonburg High","F","Standard Diploma",40
"2008-2009","Harrisonburg High","F","Adv Studies Diploma",90
"2008-2009","Harrisonburg High","F","Certificate of Completion",12
"2008-2009","Harrisonburg High","M","Standard Diploma",52
"2008-2009","Harrisonburg High","M","Adv Studies Diploma",77
"2008-2009","Harrisonburg High","M","Special Diploma",15
"2008-2009","Harrisonburg High","M","Certificate of Completion",11
"2008-2009","Harrisonburg High","","Standard Diploma",92
"2008-2009","Harrisonburg High","","Adv Studies Diploma",167
"2008-2009","Harrisonburg High","","Special Diploma",22
"2008-2009","Harrisonburg High","","Certificate of Completion",23
"2008-2009","Harrisonburg High","","GED",8
"2009-2010","Harrisonburg High","F","Standard Diploma",60
"2009-2010","Harrisonburg High","F","Adv Studies Diploma",90
"2009-2010","Harrisonburg High","M","Standard Diploma",60
"2009-2010","Harrisonburg High","M","Adv Studies Diploma",83
"2009-2010","Harrisonburg High","M","Special Diploma",17
"2009-2010","Harrisonburg High","","Standard Diploma",120
"2009-2010","Harrisonburg High","","Adv Studies Diploma",173
"2009-2010","Harrisonburg High","","Special Diploma",23
"2009-2010","Harrisonburg High","","Certificate of Completion",15
"2009-2010","Harrisonburg High","","GED",6
"2010-2011","Harrisonburg High","F","Standard Diploma",64
"2010-2011","Harrisonburg High","F","Adv Studies Diploma",79
"2010-2011","Harrisonburg High","M","Standard Diploma",63
"2010-2011","Harrisonburg High","M","Adv Studies Diploma",66
"2010-2011","Harrisonburg High","M","Special Diploma",16
"2010-2011","Harrisonburg High","","Standard Diploma",127
"2010-2011","Harrisonburg High","","Adv Studies Diploma",145
"2010-2011","Harrisonburg High","","Special Diploma",22
"2010-2011","Harrisonburg High","","Certificate of Completion",10
"2010-2011","Harrisonburg High","","GED",5
"2011-2012","Harrisonburg High","F","Standard Diploma",55
"2011-2012","Harrisonburg High","F","Adv Studies Diploma",70
"2011-2012","Harrisonburg High","M","Standard Diploma",62
"2011-2012","Harrisonburg High","M","Adv Studies Diploma",73
"2011-2012","Harrisonburg High","M","Special Diploma",14
"2011-2012","Harrisonburg High","","Standard Diploma",117
"2011-2012","Harrisonburg High","","Adv Studies Diploma",143
"2011-2012","Harrisonburg High","","Special Diploma",20
"2011-2012","Harrisonburg High","","Certificate of Completion",9
